Fruit,Year,Month,Sales
Gateway_Arch,2011,JAN,54696
Gateway_Arch,2011,FEB,54884
Gateway_Arch,2011,MAR,133246
Gateway_Arch,2011,APR,153804
Gateway_Arch,2011,MAY,179766
Gateway_Arch,2011,JUN,178809
Gateway_Arch,2011,JUL,815418
Gateway_Arch,2011,AUG,224103
Gateway_Arch,2011,SEP,143292
Gateway_Arch,2011,OCT,142409
Gateway_Arch,2011,NOV,97614
Gateway_Arch,2011,DEC,80979
Gateway_Arch,2011,Total_visitors,2259020
Gateway_Arch,2010,JAN,57518
Gateway_Arch,2010,FEB,61079
Gateway_Arch,2010,MAR,162697
Gateway_Arch,2010,APR,175883
Gateway_Arch,2010,MAY,195918
Gateway_Arch,2010,JUN,247616
Gateway_Arch,2010,JUL,817243
Gateway_Arch,2010,AUG,240563
Gateway_Arch,2010,SEP,159827
Gateway_Arch,2010,OCT,149590
Gateway_Arch,2010,NOV,105479
Gateway_Arch,2010,DEC,62697
Gateway_Arch,2010,Total_visitors,2436110
Gateway_Arch,2009,JAN,67708
Gateway_Arch,2009,FEB,77608
Gateway_Arch,2009,MAR,148648
Gateway_Arch,2009,APR,159656
Gateway_Arch,2009,MAY,195478
Gateway_Arch,2009,JUN,254753
Gateway_Arch,2009,JUL,659749
Gateway_Arch,2009,AUG,335663
Gateway_Arch,2009,SEP,152976
Gateway_Arch,2009,OCT,130503
Gateway_Arch,2009,NOV,102587
Gateway_Arch,2009,DEC,74780
Gateway_Arch,2009,Total_visitors,2360109
Gateway_Arch,2008,JAN,59291
Gateway_Arch,2008,FEB,62121
Gateway_Arch,2008,MAR,143284
Gateway_Arch,2008,APR,131112
Gateway_Arch,2008,MAY,202886
Gateway_Arch,2008,JUN,237567
Gateway_Arch,2008,JUL,332003
Gateway_Arch,2008,AUG,232820
Gateway_Arch,2008,SEP,130797
Gateway_Arch,2008,OCT,246550
Gateway_Arch,2008,NOV,107076
Gateway_Arch,2008,DEC,69303
Gateway_Arch,2008,Total_visitors,1954810
Gateway_Arch,2007,JAN,58501
Gateway_Arch,2007,FEB,61331
Gateway_Arch,2007,MAR,150464
Gateway_Arch,2007,APR,179131
Gateway_Arch,2007,MAY,193919
Gateway_Arch,2007,JUN,243622
Gateway_Arch,2007,JUL,770243
Gateway_Arch,2007,AUG,262811
Gateway_Arch,2007,SEP,166798
Gateway_Arch,2007,OCT,145347
Gateway_Arch,2007,NOV,90539
Gateway_Arch,2007,DEC,62681
Gateway_Arch,2007,Total_visitors,2385387
Gateway_Arch,2006,JAN,86281
Gateway_Arch,2006,FEB,93943
Gateway_Arch,2006,MAR,184065
Gateway_Arch,2006,APR,204230
Gateway_Arch,2006,MAY,203212
Gateway_Arch,2006,JUN,259517
Gateway_Arch,2006,JUL,664268
Gateway_Arch,2006,AUG,334203
Gateway_Arch,2006,SEP,175177
Gateway_Arch,2006,OCT,151276
Gateway_Arch,2006,NOV,117678
Gateway_Arch,2006,DEC,98222
Gateway_Arch,2006,Total_visitors,2572072
Gateway_Arch,2005,JAN,65361
Gateway_Arch,2005,FEB,92084
Gateway_Arch,2005,MAR,162410
Gateway_Arch,2005,APR,185587
Gateway_Arch,2005,MAY,240362
Gateway_Arch,2005,JUN,310340
Gateway_Arch,2005,JUL,1021406
Gateway_Arch,2005,AUG,306269
Gateway_Arch,2005,SEP,157892
Gateway_Arch,2005,OCT,166615
Gateway_Arch,2005,NOV,133547
